median_annual_salary_gbp,is_salary_imputed,SuperSkill_Basic_Data_Science,SuperSkill_BI_DataViz,SuperSkill_Statistical_Analysis_Reporting,SuperSkill_Cloud-Enabled_AI_BI,SuperSkill_SQL_Analytics_&_Automation,SuperSkill_AI_Cloud_Excel,SuperSkill_Cloud_Augmented_Analysis,SuperSkill_Cloud_Analytics_Econometrics,SuperSkill_Python_Data_Products,SuperSkill_Cloud_Engineering_MLOps,SuperSkill_Analytics_Engineering_&_MLOps,SuperSkill_R_StatScience_&_BI,region_East Midlands (England),region_East of England,region_London,region_North East (England),region_North West (England),region_Northern Ireland,region_Remote,region_Scotland,region_South East (England),region_South West (England),region_Wales,region_Yorkshire and The Humber,kmeans_job_archetype_AI Strategist,kmeans_job_archetype_BI Visualization Specialist (Power BI Focus),kmeans_job_archetype_Classic Data Scientist (Stats & Modeling Focus),kmeans_job_archetype_Cloud & Data Engineer,kmeans_job_archetype_Machine Learning & AI Specialist,kmeans_job_archetype_Noise / General Business Role,kmeans_job_archetype_SQL Developer,seniority_Manager/Director,seniority_Mid-Level,seniority_Senior
61817.6,False,0.6153813093067202,0.0963333414316995,-0.5980236539940267,0.0074132765041061005,0.928276694151333,0.49708192017898045,-0.31977293160613884,0.04173742275888509,0.32254628355729614,-0.7488517310525433,-0.32064092787227777,-0.5629546282679587,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
61422.4,False,0.6153813093067202,0.0963333414316995,-0.5980236539940267,0.0074132765041061005,0.928276694151333,0.49708192017898045,-0.31977293160613884,0.04173742275888509,0.32254628355729614,-0.7488517310525433,-0.32064092787227777,-0.5629546282679587,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
49500.0,False,-0.5944574898811306,-0.04156459189710685,-0.02789468342127104,-0.11376063669555143,-0.0405920877685459,-0.08440282846814431,-0.08671322814190177,-0.023415122651275284,-0.02427242382074501,0.040907242247120446,0.01842199254074486,0.020790802199979006,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
47500.0,False,0.1962295061530437,0.9847082119695145,-0.24045708795972287,0.7676197605881415,-0.19869795595168055,-0.27399869033715496,0.030758192744079524,0.589984052679178,0.04174772709119903,0.2808197606282956,-0.12200083085701244,-0.2922831177732763,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
46500.0,False,0.1842701710919108,0.8041467168177421,-0.2982927557830142,0.49327236953587367,-0.08091999366694763,-0.07464401572181326,0.04969918969811524,-0.16610990071386733,0.01032155327827845,-0.02552777423067279,0.547034569750612,0.35267527854898123,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
63500.0,False,-0.18248811278888705,-0.7582596875558735,0.254773738672237,0.33243500204037707,-0.05372513934177328,-0.2081064479117045,0.15702244712207233,-0.17515491210934,0.4689644299977696,-0.7433423069503324,-0.2878104180979032,-0.0858635661463875,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
62000.0,False,0.8105502276593435,0.8497691165351997,-0.46819270679290514,0.2666986947632375,-0.2401598262459451,-0.021326989137477492,-0.301770980091969,0.32029589919738444,0.09520223258762556,0.46979017026195824,-0.5724182045814762,-0.4010694190876149,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
61817.6,False,0.6153813093067202,0.0963333414316995,-0.5980236539940267,0.0074132765041061005,0.928276694151333,0.49708192017898045,-0.31977293160613884,0.04173742275888509,0.32254628355729614,-0.7488517310525433,-0.32064092787227777,-0.5629546282679587,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
61817.6,False,-0.21228846502028037,-0.5829239982919024,0.28494156759371575,0.15944054602891106,0.0842671061726834,0.13880552637763025,-0.09896321167122435,0.37998572235307204,-0.40616572582183974,-0.7562390543031186,0.1486034853923337,-0.3286390829885536,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
61422.4,False,-0.4698510953015751,-0.4718285212366481,-0.07377412429529025,0.370910257457608,0.16407816758941526,0.29974644213227675,-0.2180835074674212,0.03359613862421661,0.024555665002353278,-0.47088501407747146,-0.16097158922454285,-0.00805098136351309,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
57500.0,False,1.509797993534446,-0.7510745774323926,0.5171306716642744,0.44025566080348083,0.4647454149073826,-0.316016086561999,-0.14493666190043397,-0.0627473885156777,0.12325406473999623,-0.354773454621906,0.29335560171366276,-0.47618601464797494,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
55000.0,False,0.6757627361649776,0.5784503020643765,-0.677409226815696,-0.09919558500277129,0.019572500986015394,-0.08612199739602455,-0.008289437469681082,0.29563835549329665,0.011180378742605194,0.24776810280689154,-0.591522400965233,-0.2892283083182439,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
50000.0,False,-0.06876151960721155,-0.4317117278749686,0.535130163865287,-0.2682981379812616,-0.3082788841116533,-0.7628243780255327,0.34578189588656294,0.0008702636887977615,0.031589090641412465,-0.3751664147537555,0.16368525018873367,-0.3688591905575303,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
49500.0,False,-0.18248811278888705,-0.7582596875558735,0.254773738672237,0.33243500204037707,-0.05372513934177328,-0.2081064479117045,0.15702244712207233,-0.17515491210934,0.4689644299977696,-0.7433423069503324,-0.2878104180979032,-0.0858635661463875,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
48000.0,False,0.6808504713499102,-1.1537946216622847,-0.71282665555124,0.2036993360184583,0.08709849825096116,0.8311228010797744,-0.11078391909247054,0.02182884516368427,0.19299418916246683,0.2674208357855853,0.6389275315531365,0.07500637957909785,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
48000.0,False,1.390587323247064,-0.866468683070079,0.5038141100539478,0.14913490802058954,0.6861570723598146,-0.26695085194353263,0.3644178794324038,0.29542532242310493,0.10009848428182933,-0.3984146920524737,0.15707997131624385,-0.30736363502492176,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
42000.0,False,1.8166108638058733,-0.37377229304914333,0.9847609028616247,0.914325693846725,0.046577657331516,-0.14540159867282404,-0.6076015641177683,-0.273837701626093,0.09545158719039824,-0.19229178586056947,0.4491581623985452,-0.3758564072876514,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
