,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,Dependent variable: median_annual_salary_gbp,Dependent variable: median_annual_salary_gbp,Dependent variable: median_annual_salary_gbp,Dependent variable: median_annual_salary_gbp
,,,,
,Model A (With Noise),"Model B (With Noise, Sensitivity)",Model C (Main Model - No Noise),"Model D (Main Model - No Noise, Sensitivity)"
,(1),(2),(3),(4)
,,,,
kmeans_job_archetype_Cloud & Data Engineer,0.190***,0.346***,0.201***,0.349***
,(0.076),(0.135),(0.064),(0.137)
SuperSkill_Python_Data_Products,0.024,-0.114,0.037,-0.234*
,(0.066),(0.137),(0.060),(0.132)
SuperSkill_Cloud_Engineering_MLOps,0.201*,0.290*,0.177,0.247
,(0.111),(0.167),(0.136),(0.178)
SuperSkill_Analytics_Engineering_&_MLOps,-0.130*,-0.083,-0.111*,-0.054
,(0.069),(0.109),(0.064),(0.101)
SuperSkill_R_StatScience_&_BI,-0.011,0.177,0.041,0.313
,(0.112),(0.190),(0.102),(0.210)
seniority_Manager/Director,0.374***,0.555***,0.405***,0.582***
,(0.029),(0.049),(0.036),(0.060)
seniority_Senior,0.379***,0.543***,0.382***,0.512***
,(0.025),(0.039),(0.030),(0.049)
seniority_Mid-Level,0.270***,0.405***,0.278***,0.390***
,(0.023),(0.037),(0.028),(0.046)
region_London,0.146***,0.231***,0.176***,0.206***
,(0.026),(0.043),(0.034),(0.055)
region_Remote,0.084***,0.117**,0.061,0.029
,(0.031),(0.050),(0.041),(0.065)
region_Scotland,0.056,0.040,0.100**,0.063
,(0.036),(0.063),(0.046),(0.076)
region_South East (England),0.035,0.044,0.049,0.034
,(0.029),(0.050),(0.038),(0.063)
region_East of England,0.047,0.064,0.061,0.027
,(0.033),(0.054),(0.041),(0.068)
region_North West (England),0.016,-0.024,0.012,-0.075
,(0.031),(0.051),(0.041),(0.066)
region_South West (England),-0.001,0.049,0.051,0.004
,(0.034),(0.056),(0.044),(0.068)
region_East Midlands (England),0.017,-0.004,0.033,-0.037
,(0.038),(0.062),(0.048),(0.077)
region_Yorkshire and The Humber,0.019,-0.033,0.020,-0.074
,(0.039),(0.061),(0.052),(0.084)
region_North East (England),-0.022,-0.068,0.052,-0.022
,(0.048),(0.077),(0.062),(0.103)
region_Wales,-0.023,-0.098,-0.088,-0.083
,(0.055),(0.083),(0.071),(0.111)
region_Northern Ireland,-0.027,0.069,0.006,-0.247**
,(0.055),(0.119),(0.071),(0.119)
Observations,3676,1964,2225,1196
R2,0.151,0.232,0.205,0.293
Adjusted R2,0.143,0.219,0.193,0.273
Residual Std. Error,0.313 (df=3641),0.370 (df=1929),0.302 (df=2191),0.352 (df=1162)
F Statistic,19.104*** (df=34; 3641),17.147*** (df=34; 1929),17.147*** (df=33; 2191),14.582*** (df=33; 1162)
,,,,
Note:,*p<0.1; **p<0.05; ***p<0.01,*p<0.1; **p<0.05; ***p<0.01,*p<0.1; **p<0.05; ***p<0.01,*p<0.1; **p<0.05; ***p<0.01
"Significance: *** p < 0.001, ** p < 0.01, * p < 0.05.","Significance: *** p < 0.001, ** p < 0.01, * p < 0.05.","Significance: *** p < 0.001, ** p < 0.01, * p < 0.05.","Significance: *** p < 0.001, ** p < 0.01, * p < 0.05.","Significance: *** p < 0.001, ** p < 0.01, * p < 0.05."
Dependent variable is Log(Median Annual Salary).,Dependent variable is Log(Median Annual Salary).,Dependent variable is Log(Median Annual Salary).,Dependent variable is Log(Median Annual Salary).,Dependent variable is Log(Median Annual Salary).
"Base categories: ""Traditional Analyst"", ""West Midlands"", ""Junior"".","Base categories: ""Traditional Analyst"", ""West Midlands"", ""Junior"".","Base categories: ""Traditional Analyst"", ""West Midlands"", ""Junior"".","Base categories: ""Traditional Analyst"", ""West Midlands"", ""Junior"".","Base categories: ""Traditional Analyst"", ""West Midlands"", ""Junior""."
Model includes a full set of regional and Super-Skill controls.,Model includes a full set of regional and Super-Skill controls.,Model includes a full set of regional and Super-Skill controls.,Model includes a full set of regional and Super-Skill controls.,Model includes a full set of regional and Super-Skill controls.
